ticker,sector
CWT,Utilities
CXM,Information Technology
CXT,Information Technology
CXW,Industrials
CYTK,Health Care
CZR,Consumer Discretionary
D,Utilities
DAL,Industrials
DAN,Consumer Discretionary
DAR,Consumer Staples
DASH,Consumer Discretionary
DAVE,Financials
DBD,Information Technology
DBX,Information Technology
DCH,Consumer Discretionary
DCI,Industrials
DCOM,Financials
DD,Materials
DDOG,Information Technology
DE,Industrials
DEA,Real Estate
DECK,Consumer Discretionary
DEI,Real Estate
DELL,Information Technology
DFH,Consumer Discretionary
DFIN,Financials
DG,Consumer Staples
DGII,Information Technology
DGX,Health Care
DHI,Consumer Discretionary
DHR,Health Care
DINO,Energy
DIOD,Information Technology
DIS,Communication Services
DKS,Consumer Discretionary
DLB,Information Technology
DLR,Real Estate
DLTR,Consumer Staples
DLX,Industrials
DNOW,Industrials
DOC,Real Estate
DOCN,Information Technology
DOCS,Health Care
DOCU,Information Technology
DORM,Consumer Discretionary
DOV,Industrials
DOW,Materials
DPZ,Consumer Discretionary
DRH,Real Estate
DRI,Consumer Discretionary
DT,Information Technology
DTE,Utilities
DTM,Energy
DUK,Utilities
DUOL,Consumer Discretionary
DV,Communication Services
DVA,Health Care
DVN,Energy
DXC,Information Technology
DXCM,Health Care
DXPE,Industrials
DY,Industrials
EA,Communication Services
EAT,Consumer Discretionary
EBAY,Consumer Discretionary
ECG,Industrials
ECHO,Communication Services
ECL,Materials
ECPG,Financials
ED,Utilities
EEFT,Financials
EFC,Financials
EFOR,Information Technology
EFX,Industrials
EG,Financials
EGBN,Financials
EGP,Real Estate
EHC,Health Care
EIG,Financials
EIX,Utilities
EL,Consumer Staples
ELAN,Health Care
ELF,Consumer Staples
ELS,Real Estate
ELV,Health Care
EMBC,Health Care
EME,Industrials
EMN,Materials
EMR,Industrials
ENOV,Health Care
ENPH,Information Technology
ENR,Consumer Staples
ENS,Industrials
ENSG,Health Care
ENTG,Information Technology
ENVA,Financials
EOG,Energy
EPAC,Industrials
EPAM,Information Technology
EPC,Consumer Staples
EPR,Real Estate
EPRT,Real Estate
EQH,Financials
EQIX,Real Estate
EQR,Real Estate
EQT,Energy
ERIE,Financials
ES,Utilities
ESAB,Industrials
ESE,Industrials
ESI,Materials
ESNT,Financials
ESS,Real Estate
ETD,Consumer Discretionary
ETN,Industrials
ETR,Utilities
ETSY,Consumer Discretionary
EVR,Financials
EVRG,Utilities
EVTC,Financials
EW,Health Care
EWBC,Financials
EXC,Utilities
EXE,Energy
EXEL,Health Care
EXLS,Industrials
EXP,Materials
EXPD,Industrials
EXPE,Consumer Discretionary
EXPO,Industrials
EXR,Real Estate
EXTR,Information Technology
EYE,Consumer Discretionary
EZPW,Financials
F,Consumer Discretionary
FA,Industrials
FAF,Financials
FANG,Energy
FAST,Industrials
FBIN,Industrials
FBK,Financials
FBNC,Financials
FBP,Financials
FBRT,Real Estate
FCF,Financials
FCFS,Financials
FCN,Industrials
FCPT,Real Estate
FCX,Materials
FDP,Consumer Staples
FDS,Financials
FDX,Industrials
FDXF,Industrials
FE,Utilities
FELE,Industrials
FFBC,Financials
FFIN,Financials
FFIV,Information Technology
FG,Financials
FHB,Financials
FHI,Financials
FHN,Financials
FIBK,Financials
FICO,Information Technology
FIS,Financials
FISV,Financials
FITB,Financials
FIVE,Consumer Discretionary
FIX,Industrials
FIZZ,Consumer Staples
FLEX,Information Technology
FLG,Financials
FLO,Consumer Staples
FLR,Industrials
FLS,Industrials
FMC,Materials
FN,Information Technology
FNB,Financials
FND,Consumer Discretionary
FNF,Financials
FORM,Information Technology
FOUR,Financials
FOX,Communication Services
FOXA,Communication Services
FOXF,Consumer Discretionary
FR,Real Estate
FRPT,Consumer Staples
FRT,Real Estate
FSLR,Information Technology
FSS,Industrials
FTDR,Consumer Discretionary
FTI,Energy
FTNT,Information Technology
FTRE,Health Care
FTV,Industrials
FUL,Materials
FULT,Financials
FUN,Consumer Discretionary
FWRD,Industrials
G,Industrials
GAP,Consumer Discretionary
GATX,Industrials
GBCI,Financials
GBX,Industrials
GD,Industrials
GDDY,Information Technology
GE,Industrials
GEF,Materials
GEHC,Health Care
GEN,Information Technology
GEO,Industrials
GEV,Industrials
GFF,Industrials
GGG,Industrials
GHC,Consumer Discretionary
GIII,Consumer Discretionary
GILD,Health Care
GIS,Consumer Staples
GKOS,Health Care
GL,Financials
GLPI,Real Estate
GLW,Information Technology
GM,Consumer Discretionary
GME,Consumer Discretionary
GMED,Health Care
GNL,Real Estate
GNRC,Industrials
GNTX,Consumer Discretionary
GNW,Financials
GO,Consumer Staples
GOGO,Communication Services
GOLF,Consumer Discretionary
GOOG,Communication Services
GOOGL,Communication Services
GPC,Consumer Discretionary
GPI,Consumer Discretionary
GPK,Materials
GPN,Financials
GRBK,Consumer Discretionary
GRMN,Consumer Discretionary
GS,Financials
GSHD,Financials
GT,Consumer Discretionary
GTES,Industrials
GTLS,Industrials
GTM,Communication Services
GTY,Real Estate
GVA,Industrials
GWRE,Information Technology
GWW,Industrials
GXO,Industrials
H,Consumer Discretionary
HAE,Health Care
HAFC,Financials
HAL,Energy
HALO,Health Care
HAS,Consumer Discretionary
HASI,Financials
HAYW,Industrials
HBAN,Financials
HCA,Health Care
HCC,Materials
HCI,Financials
HCSG,Industrials
HD,Consumer Discretionary
HE,Utilities
HFWA,Health Care
HGV,Consumer Discretionary
HIG,Financials
HII,Industrials
HIMS,Health Care
HIW,Real Estate
HL,Materials
HLI,Financials
HLIT,Information Technology
HLNE,Financials
HLT,Consumer Discretionary
HLX,Energy
HMN,Financials
HNI,Industrials
HOG,Consumer Discretionary
HOMB,Financials
HON,Industrials
HONA,Industrials
HOOD,Financials
HOPE,Financials
HP,Energy
HPE,Information Technology
HPQ,Information Technology
HQY,Health Care
HR,Real Estate
HRB,Consumer Discretionary
HRL,Consumer Staples
HRMY,Health Care
HSIC,Health Care
HST,Real Estate
HSTM,Health Care
HSY,Consumer Staples
HTH,Financials
HTLD,Industrials
HTO,Utilities
HTZ,Industrials
HUBB,Industrials
HUBG,Industrials
HUM,Health Care
HWC,Financials
HWKN,Materials
HWM,Industrials
HXL,Industrials
HZO,Consumer Discretionary
IART,Health Care
IBKR,Financials
IBM,Information Technology
IBOC,Financials
IBP,Consumer Discretionary
ICE,Financials
ICHR,Information Technology
ICUI,Health Care
IDA,Utilities
IDCC,Information Technology
IDXX,Health Care
IEX,Industrials
IFF,Materials
IIIN,Industrials
IIPR,Real Estate
ILMN,Health Care
INCY,Health Care
INDB,Financials
INDV,Health Care
INGR,Consumer Staples
INSP,Health Care
INSW,Energy
INTC,Information Technology
INTU,Information Technology
INVA,Health Care
INVH,Real Estate
INVX,Energy
IOSP,Materials
IP,Materials
IPAR,Consumer Staples
IPGP,Information Technology
IQV,Health Care
IR,Industrials
IRDM,Communication Services
IRM,Real Estate
IRT,Real Estate
ISRG,Health Care
IT,Information Technology
ITGR,Health Care
ITRI,Information Technology
ITT,Industrials
ITW,Industrials
IVZ,Financials
J,Industrials
JAZZ,Health Care
JBGS,Real Estate
JBHT,Industrials
JBL,Information Technology
JBLU,Industrials
JBSS,Consumer Staples
JBTM,Industrials
JCI,Industrials
JEF,Financials
JHG,Financials
JJSF,Consumer Staples
JKHY,Financials
JLL,Real Estate
JNJ,Health Care
JOE,Real Estate
JPM,Financials
JXN,Financials
KAI,Industrials
KALU,Materials
KBH,Consumer Discretionary
KBR,Industrials
KD,Information Technology
KDP,Consumer Staples
KEX,Industrials
KEY,Financials
KEYS,Information Technology
KFY,Industrials
KGS,Energy
KHC,Consumer Staples
KIM,Real Estate
KKR,Financials
KLAC,Information Technology
KLIC,Information Technology
KMB,Consumer Staples
KMI,Energy
KMPR,Financials
KMT,Industrials
KMX,Consumer Discretionary
KN,Information Technology
KNF,Materials
KNSL,Financials
KNTK,Energy
KNX,Industrials
KO,Consumer Staples
KOP,Materials
KR,Consumer Staples
KRC,Real Estate
KRG,Real Estate
KRYS,Health Care
KSS,Consumer Discretionary
KTB,Consumer Discretionary
KTOS,Industrials
KVUE,Consumer Staples
KWR,Materials
L,Financials
LAD,Consumer Discretionary
LAMR,Real Estate
LAUR,Consumer Discretionary
LBRT,Energy
LCII,Consumer Discretionary
LDOS,Industrials
LEA,Consumer Discretionary
LECO,Industrials
LEG,Consumer Discretionary
LEN,Consumer Discretionary
LFST,Health Care
LFUS,Information Technology
LGIH,Consumer Discretionary
LGND,Health Care
LH,Health Care
LHX,Industrials
LIF,Information Technology
LII,Industrials
LIN,Materials
LITE,Information Technology
LIVN,Health Care
LKFN,Financials
LKQ,Consumer Discretionary
LLY,Health Care
LMAT,Health Care
LMT,Industrials
LNC,Financials
LNN,Materials
LNT,Utilities
LNTH,Health Care
LOPE,Consumer Discretionary
LOW,Consumer Discretionary
LPG,Energy
LPX,Industrials
LQDT,Industrials
LRCX,Information Technology
LRN,Consumer Discretionary
LSCC,Information Technology
LSTR,Industrials
LTC,Real Estate
LTH,Consumer Discretionary
LULU,Consumer Discretionary
LUMN,Communication Services
LUV,Industrials
LVS,Consumer Discretionary
LW,Consumer Staples
LXP,Real Estate
LYB,Materials
LYFT,Industrials
LYV,Communication Services
LZ,Industrials
LZB,Consumer Discretionary
M,Consumer Discretionary
MA,Financials
MAA,Real Estate
MAC,Real Estate
MAN,Industrials
MANH,Information Technology
MAR,Consumer Discretionary
MARA,Information Technology
MAS,Industrials
MAT,Consumer Discretionary
MATW,Consumer Discretionary
MATX,Industrials
MBC,Industrials
MBIN,Financials
MC,Financials
MCD,Consumer Discretionary
MCHP,Information Technology
MCK,Health Care
MCO,Financials
MCRI,Consumer Discretionary
MCY,Financials
MD,Health Care
MDLZ,Consumer Staples
MDT,Health Care
MDU,Utilities
MEDP,Health Care
MET,Financials
META,Communication Services
MGEE,Utilities
MGM,Consumer Discretionary
MGY,Energy
MHK,Consumer Discretionary
MHO,Consumer Discretionary
MIDD,Industrials
MIR,Information Technology
MKC,Consumer Staples
MKSI,Information Technology
MKTX,Financials
MLI,Industrials
MLKN,Industrials
MLM,Materials
MMI,Real Estate
MMM,Industrials
MMS,Industrials
MMSI,Health Care
MNRO,Consumer Discretionary
MNST,Consumer Staples
MO,Consumer Staples
MOG-A,Industrials
MOH,Health Care
MORN,Financials
MOS,Materials
MP,Materials
MPC,Energy
MPT,Real Estate
MPWR,Information Technology
MRCY,Industrials
MRK,Health Care
MRNA,Health Care
MRP,Real Estate
MRSH,Financials
MRTN,Industrials
MRVL,Information Technology
MS,Financials
MSA,Industrials
MSCI,Financials
MSEX,Utilities
MSFT,Information Technology
MSGS,Communication Services
MSI,Information Technology
MSM,Industrials
MTB,Financials
MTCH,Communication Services
MTD,Health Care
MTDR,Energy
MTG,Financials
MTH,Consumer Discretionary
MTN,Consumer Discretionary
MTRN,Materials
MTSI,Information Technology
MTUS,Materials
MTX,Materials
MTZ,Industrials
MU,Information Technology
MUR,Energy
MUSA,Consumer Discretionary
MWA,Industrials
MXL,Information Technology
MYRG,Industrials
MZTI,Consumer Staples
NABL,Information Technology
NATL,Financials
NAVI,Financials
NBHC,Financials
NBIX,Health Care
NBTB,Financials
NCLH,Consumer Discretionary
NDAQ,Financials
NDSN,Industrials
NE,Energy
NEE,Utilities
NEM,Materials
NEO,Health Care
NEOG,Health Care
NEU,Materials
NFG,Utilities
NFLX,Communication Services
NGVT,Materials
NHC,Health Care
NHI,Real Estate
NI,Utilities
NJR,Utilities
NKE,Consumer Discretionary
NLY,Financials
NMIH,Financials
NNN,Real Estate
NOC,Industrials
NOG,Energy
NOV,Energy
NOVT,Information Technology
NOW,Information Technology
NPK,Industrials
NPO,Industrials
NRG,Utilities
NSA,Real Estate
NSC,Industrials
NSIT,Industrials
NSP,Industrials
NSSC,Information Technology
NTAP,Information Technology
NTCT,Information Technology
NTNX,Information Technology
NTRS,Financials
NTST,Real Estate
NUE,Materials
NVDA,Information Technology
NVR,Consumer Discretionary
NVST,Health Care
NVT,Industrials
NWBI,Financials
NWE,Utilities
NWL,Consumer Discretionary
NWN,Utilities
NWS,Communication Services
NWSA,Communication Services
NX,Industrials
NXPI,Information Technology
NXRT,Real Estate
NXST,Communication Services
NXT,Industrials
NYT,Communication Services
O,Real Estate
OC,Industrials
ODFL,Industrials
OFG,Financials
OGE,Utilities
OGN,Health Care
OGS,Utilities
OHI,Real Estate
OI,Materials
OII,Energy
OKE,Energy
OKTA,Information Technology
OLED,Information Technology
OLLI,Consumer Discretionary
OLN,Materials
OMC,Communication Services
OMCL,Health Care
ON,Information Technology
ONB,Financials
ONTO,Information Technology
OPCH,Health Care
OPLN,Industrials
ORA,Utilities
ORCL,Information Technology
ORI,Financials
ORLY,Consumer Discretionary
OSIS,Information Technology
OSK,Industrials
OSW,Consumer Discretionary
OTIS,Industrials
OTTR,Utilities
OUT,Real Estate
OVV,Energy
OXM,Consumer Discretionary
OXY,Energy
OZK,Financials
P,Information Technology
PAG,Consumer Discretionary
PAHC,Health Care
PANW,Information Technology
PARR,Energy
PATH,Information Technology
PATK,Consumer Discretionary
PAYC,Industrials
PAYO,Financials
PAYX,Industrials
PB,Financials
PBF,Energy
PBH,Health Care
PBI,Industrials
PCAR,Industrials
PCG,Utilities
PCRX,Health Care
PCTY,Industrials
PDFS,Information Technology
PEB,Real Estate
PECO,Real Estate
PEG,Utilities
PEGA,Information Technology
PEN,Health Care
PENG,Information Technology
PENN,Consumer Discretionary
PEP,Consumer Staples
PFBC,Financials
PFE,Health Care
PFG,Financials
PFGC,Consumer Staples
PFS,Financials
PG,Consumer Staples
PGNY,Health Care
PGR,Financials
PH,Industrials
PHIN,Consumer Discretionary
PHM,Consumer Discretionary
PI,Information Technology
PII,Consumer Discretionary
PINS,Communication Services
PIPR,Financials
PJT,Financials
PK,Real Estate
PKG,Materials
PLAB,Information Technology
PLD,Real Estate
PLMR,Financials
PLNT,Consumer Discretionary
PLTR,Information Technology
PLUS,Information Technology
PLXS,Information Technology
PM,Consumer Staples
PMT,Real Estate
PNC,Financials
PNFP,Financials
PNR,Industrials
PNW,Utilities
PODD,Health Care
POR,Utilities
POST,Consumer Staples
POWI,Information Technology
POWL,Industrials
PPC,Consumer Staples
PPG,Materials
PPL,Utilities
PPLI,Communication Services
PR,Energy
PRAA,Financials
PRDO,Consumer Discretionary
PRG,Financials
PRGO,Health Care
PRGS,Information Technology
PRI,Financials
PRIM,Industrials
PRK,Financials
PRKS,Consumer Discretionary
PRLB,Industrials
PRSU,Consumer Discretionary
PRU,Financials
PRVA,Health Care
PSA,Real Estate
PSKY,Communication Services
PSMT,Consumer Staples
PSN,Industrials
PSX,Energy
PTC,Information Technology
PTCT,Health Care
PTEN,Energy
PTGX,Health Care
PTON,Consumer Discretionary
PVH,Consumer Discretionary
PWR,Industrials
PYPL,Financials
PZZA,Consumer Discretionary
Q,Information Technology
QCOM,Information Technology
QDEL,Health Care
QLYS,Information Technology
QNST,Communication Services
QRVO,Information Technology
QTWO,Information Technology
R,Industrials
RAL,Information Technology
RAMP,Information Technology
RBA,Industrials
RBC,Industrials
RCL,Consumer Discretionary
RCUS,Health Care
RDN,Financials
RDNT,Health Care
REG,Real Estate
REGN,Health Care
RELY,Financials
RES,Energy
REX,Energy
REXR,Real Estate
REYN,Consumer Staples
REZI,Industrials
RF,Financials
RGA,Financials
RGEN,Health Care
RGLD,Materials
RH,Consumer Discretionary
RHI,Industrials
RHP,Real Estate
RITM,Financials
RJF,Financials
RL,Consumer Discretionary
RLI,Financials
RMBS,Information Technology
RMD,Health Care
RNG,Information Technology
RNR,Financials
RNST,Financials
ROCK,Industrials
ROG,Information Technology
ROIV,Health Care
ROK,Industrials
ROKU,Communication Services
ROL,Industrials
ROP,Information Technology
ROST,Consumer Discretionary
RPM,Materials
RRC,Energy
RRR,Consumer Discretionary
RRX,Industrials
RS,Materials
RSG,Industrials
RTX,Industrials
RUN,Industrials
RUSHA,Industrials
RVTY,Health Care
RWT,Real Estate
RXO,Industrials
RYAN,Financials
RYN,Real Estate
SABR,Consumer Discretionary
SAFE,Real Estate
SAFT,Financials
SAH,Consumer Discretionary
SAIA,Industrials
SAIC,Industrials
SAM,Consumer Staples
SANM,Information Technology
SARO,Industrials
SBAC,Real Estate
SBCF,Financials
SBH,Consumer Discretionary
SBRA,Real Estate
SBSI,Financials
SBUX,Consumer Discretionary
SCHL,Consumer Discretionary
SCHW,Financials
SCI,Consumer Discretionary
SCL,Materials
SCSC,Information Technology
SDGR,Health Care
SEDG,Information Technology
SEIC,Financials
SEM,Health Care
SEZL,Financials
SF,Financials
SFBS,Financials
SFM,Consumer Staples
SFNC,Financials
SGI,Consumer Discretionary
SHAK,Consumer Discretionary
SHC,Health Care
SHEN,Communication Services
SHO,Real Estate
SHOO,Consumer Discretionary
SHW,Materials
SIG,Consumer Discretionary
SIGI,Financials
SIRI,Communication Services
SITM,Information Technology
SJM,Consumer Staples
SKT,Real Estate
SKY,Consumer Discretionary
SKYW,Industrials
SLAB,Information Technology
SLB,Energy
SLG,Real Estate
SLGN,Materials
SLM,Financials
SLVM,Materials
SM,Energy
SMCI,Information Technology
SMG,Materials
SMP,Consumer Discretionary
SMPL,Consumer Staples
SMTC,Information Technology
SN,Consumer Discretionary
SNA,Industrials
SNDK,Information Technology
SNDR,Industrials
SNEX,Financials
SNPS,Information Technology
SNX,Information Technology
SO,Utilities
SOLS,Materials
SOLV,Health Care
SON,Materials
SONO,Consumer Discretionary
SPG,Real Estate
SPGI,Financials
SPHR,Communication Services
SPNT,Financials
SPSC,Information Technology
SPXC,Industrials
SR,Utilities
SRE,Utilities
SRPT,Health Care
SSB,Financials
SSD,Industrials
ST,Industrials
STAA,Health Care
STAG,Real Estate
STBA,Financials
STC,Financials
STE,Health Care
STEL,Financials
STEP,Financials
STLD,Materials
STRA,Consumer Discretionary
STRL,Industrials
STT,Financials
STWD,Financials
STX,Information Technology
STZ,Consumer Staples
SUPN,Health Care
SW,Materials
SWK,Industrials
SWKS,Information Technology
SWX,Utilities
SXI,Industrials
SXT,Materials
SYF,Financials
SYK,Health Care
SYNA,Information Technology
SYY,Consumer Staples
T,Communication Services
TALO,Energy
TAP,Consumer Staples
TBBK,Financials
TCBI,Financials
TDC,Information Technology
TDG,Industrials
TDS,Communication Services
TDW,Energy
TDY,Information Technology
TECH,Health Care
TEL,Information Technology
TER,Information Technology
TEX,Industrials
TFC,Financials
TFIN,Financials
TFX,Health Care
TGT,Consumer Staples
TGTX,Health Care
THC,Health Care
THG,Financials
THO,Consumer Discretionary
THRM,Consumer Discretionary
TILE,Industrials
TJX,Consumer Discretionary
TKO,Communication Services
TKR,Industrials
TLN,Utilities
TMDX,Health Care
TMHC,Consumer Discretionary
TMO,Health Care
TMP,Financials
TMUS,Communication Services
TNC,Industrials
TNDM,Health Care
TNL,Consumer Discretionary
TOL,Consumer Discretionary
TPL,Energy
TPR,Consumer Discretionary
TR,Consumer Staples
TREX,Industrials
TRGP,Energy
TRIP,Communication Services
TRMB,Information Technology
TRMK,Financials
TRN,Industrials
TRNO,Real Estate
TROW,Financials
TRST,Financials
TRU,Industrials
TRUP,Financials
TRV,Financials
TSCO,Consumer Discretionary
TSLA,Consumer Discretionary
TSN,Consumer Staples
TT,Industrials
TTC,Industrials
TTD,Communication Services
TTEK,Industrials
TTMI,Information Technology
TTWO,Communication Services
TWLO,Information Technology
TWO,Financials
TXN,Information Technology
TXNM,Utilities
TXRH,Consumer Discretionary
TXT,Industrials
TYL,Information Technology
UA,Consumer Discretionary
UAA,Consumer Discretionary
UAL,Industrials
UBER,Industrials
UBSI,Financials
UCB,Financials
UCTT,Information Technology
UDR,Real Estate
UE,Real Estate
UFCS,Financials
UFPI,Industrials
UFPT,Health Care
UGI,Utilities
UHS,Health Care
UHT,Real Estate
ULS,Industrials
ULTA,Consumer Discretionary
UMBF,Financials
UNF,Industrials
UNFI,Consumer Staples
UNH,Health Care
UNIT,Communication Services
UNM,Financials
UNP,Industrials
UPBD,Consumer Discretionary
UPS,Industrials
UPWK,Industrials
URBN,Consumer Discretionary
URI,Industrials
USB,Financials
USFD,Consumer Staples
USPH,Health Care
UTHR,Health Care
UTI,Consumer Discretionary
UTL,Utilities
UVV,Consumer Staples
V,Financials
VAC,Consumer Discretionary
VAL,Energy
VC,Consumer Discretionary
VCEL,Health Care
VCTR,Financials
VCYT,Health Care
VECO,Information Technology
VEEV,Health Care
VFC,Consumer Discretionary
VGNT,Consumer Discretionary
VIAV,Information Technology
VICI,Real Estate
